time step,id,x,y,z
0,1205,0.254022,0.300886,0.320418
0,1207,0.45774,0.0361776,0.509637
0,1203,0.0129087,0.511254,0.106893
0,1204,0.936758,0.655862,0.492376
0,1210,0.892137,0.819599,0.361667
0,1208,0.772525,0.803596,0.020345
0,1201,0.240651,0.43361,0.770335
0,1202,0.419338,0.875182,0.674894
0,1206,0.344327,0.906996,0.870896
0,1209,0.439541,0.653606,0.925497
1,1205,0.253983,0.300896,0.320424
1,1207,0.457711,0.0361757,0.509647
1,1203,0.0129202,0.51125,0.106909
1,1204,0.936726,0.655878,0.492436
1,1210,0.892177,0.819603,0.361664
1,1208,0.772542,0.803567,0.0203447
1,1201,0.240644,0.433629,0.770369
1,1202,0.419349,0.87519,0.674873
1,1206,0.344304,0.906959,0.870909
1,1209,0.439518,0.653569,0.92549
2,1205,0.253943,0.300906,0.320429
2,1207,0.457682,0.0361735,0.509658
2,1203,0.0129316,0.511246,0.106924
2,1204,0.936695,0.655894,0.492495
2,1210,0.892217,0.819606,0.361662
2,1208,0.772559,0.803538,0.0203448
2,1201,0.240638,0.433649,0.770402
2,1202,0.41936,0.875199,0.674853
2,1206,0.344282,0.906921,0.870922
2,1209,0.439496,0.653532,0.925482
3,1205,0.253902,0.300916,0.320435
3,1207,0.457654,0.0361711,0.509668
3,1203,0.0129429,0.511242,0.106938
3,1204,0.936663,0.655911,0.492554
3,1210,0.892257,0.819611,0.361659
3,1208,0.772577,0.803508,0.0203455
3,1201,0.240632,0.433669,0.770437
3,1202,0.419371,0.875207,0.674832
3,1206,0.34426,0.906884,0.870935
3,1209,0.439473,0.653495,0.925474
4,1205,0.253862,0.300926,0.320441
4,1207,0.457626,0.0361685,0.509679
4,1203,0.012954,0.511238,0.106952
4,1204,0.936631,0.655927,0.492614
4,1210,0.892297,0.819615,0.361656
4,1208,0.772595,0.803479,0.0203466
4,1201,0.240627,0.433689,0.770472
4,1202,0.419381,0.875214,0.674811
4,1206,0.344238,0.906848,0.870947
4,1209,0.43945,0.653458,0.925465
5,1205,0.253821,0.300936,0.320447
5,1207,0.457598,0.0361656,0.50969
5,1203,0.012965,0.511235,0.106965
5,1204,0.936599,0.655944,0.492674
5,1210,0.892338,0.819619,0.361652
5,1208,0.772614,0.803449,0.0203481
5,1201,0.240621,0.43371,0.770507
5,1202,0.419391,0.875222,0.67479
5,1206,0.344217,0.906811,0.870959
5,1209,0.439427,0.653421,0.925457
6,1205,0.25378,0.300947,0.320453
6,1207,0.457571,0.0361625,0.509701
6,1203,0.0129759,0.511232,0.106978
6,1204,0.936567,0.655961,0.492733
6,1210,0.892378,0.819624,0.361649
6,1208,0.772633,0.803419,0.0203502
6,1201,0.240615,0.43373,0.770543
6,1202,0.4194,0.875229,0.674769
6,1206,0.344196,0.906775,0.870971
