Atom ID	Mol ID	Atom_type	Charges	x	y	z
$atom:O1	$mol:...	@atom:Oc	-0.632	1.5	2.75	0.9
$atom:C1	$mol:...	@atom:Cc	0.912	2.70569810626	2.7499916920759437	0.8926192457614001
$atom:O3	$mol:...	@atom:O	-0.436	3.4641328267275	3.8643491571556794	0.8880070445996
$atom:C4	$mol:...	@atom:C	0.208	4.8676425097	3.5216852365456788	0.8984229499313
$atom:H5	$mol:...	@atom:H	0.044	5.3140429915	3.953923279655679	1.7956756067450002
$atom:H6	$mol:...	@atom:H	0.044	5.3325945146	3.950508101155679	0.008815341125000042
$atom:C7	$mol:...	@atom:C	0.208	4.8676522932	1.978328943235679	0.8983717501804
$atom:O8	$mol:...	@atom:O	-0.436	3.4641471168416	1.635645490655679	0.8880456537421
$atom:H9	$mol:...	@atom:H	0.044	5.3325148131999995	1.549597521955679	0.008665795735000037
$atom:H10	$mol:...	@atom:H	0.044	5.3141652509	1.5460145655556792	1.7955252426150001
